CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
109	9788	13019	42.92	22807
110	9966	12961	43.47	22927
111	9951	13077	43.21	23028
112	9954	12914	43.53	22868
113	9933	13025	43.27	22958
114	9745	12781	43.26	22526
115	9733	12752	43.29	22485
116	9829	12663	43.70	22492
117	10040	13028	43.52	23068
118	9865	12746	43.63	22611
119	9970	12721	43.94	22691
120	10022	12928	43.67	22950
121	9917	12988	43.30	22905
122	9843	12878	43.32	22721
123	9987	12915	43.61	22902
124	9911	12492	44.24	22403
125	9678	12519	43.60	22197
126	9812	12772	43.45	22584
127	10046	12965	43.66	23011
128	9856	12809	43.49	22665
129	10052	12946	43.71	22998
130	9719	12978	42.82	22697
131	9819	12717	43.57	22536
132	9976	12950	43.51	22926
133	9961	12919	43.54	22880
134	9991	12689	44.05	22680
135	9886	12800	43.58	22686
136	10036	12759	44.03	22795
137	9795	12703	43.54	22498
138	9954	12787	43.77	22741
139	9908	12766	43.70	22674
140	10091	12463	44.74	22554

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	959	113404	0.84	114363
2	1081	103504	1.03	104585
3	886	103950	0.85	104836
4	898	105272	0.85	106170
5	830	106096	0.78	106926
6	818	105502	0.77	106320
7	933	105662	0.88	106595
8	866	104484	0.82	105350
9	861	106512	0.80	107373
10	893	107266	0.83	108159
11	844	106961	0.78	107805
12	861	107260	0.80	108121
13	865	106697	0.80	107562
14	886	107074	0.82	107960
15	868	108672	0.79	109540
16	937	107962	0.86	108899
17	870	107462	0.80	108332
18	823	106747	0.77	107570
19	867	107876	0.80	108743
20	845	107413	0.78	108258
21	873	106087	0.82	106960
22	889	106437	0.83	107326
23	903	108065	0.83	108968
24	873	108760	0.80	109633
25	873	110021	0.79	110894
26	874	108390	0.80	109264
27	856	109051	0.78	109907
28	924	109524	0.84	110448
29	924	109092	0.84	110016
30	871	108030	0.80	108901
31	806	108265	0.74	109071
32	880	108431	0.81	109311
33	941	109156	0.85	110097
34	890	109268	0.81	110158
35	890	108925	0.81	109815
36	932	109067	0.85	109999
37	901	109946	0.81	110847
38	881	108991	0.80	109872
39	890	108696	0.81	109586
40	897	108578	0.82	109475
41	949	107794	0.87	108743
42	866	109084	0.79	109950
43	877	109680	0.79	110557
44	861	108684	0.79	109545
45	939	109729	0.85	110668
46	927	109461	0.84	110388
47	903	109878	0.82	110781
48	915	110094	0.82	111009
49	933	110455	0.84	111388
50	874	109964	0.79	110838
51	875	108280	0.80	109155
52	867	109190	0.79	110057
53	877	109146	0.80	110023
54	893	109173	0.81	110066
55	854	110093	0.77	110947
56	957	109611	0.87	110568
57	920	109768	0.83	110688
58	926	109643	0.84	110569
59	866	110073	0.78	110939
60	935	109692	0.85	110627
61	881	107788	0.81	108669
62	902	108866	0.82	109768
63	858	108996	0.78	109854
64	900	108652	0.82	109552
65	840	108673	0.77	109513
66	852	110005	0.77	110857
67	904	109005	0.82	109909
68	834	110590	0.75	111424
69	864	110063	0.78	110927
70	914	110062	0.82	110976
71	894	109024	0.81	109918
72	880	109662	0.80	110542
73	928	109243	0.84	110171
74	870	108813	0.79	109683
75	875	108289	0.80	109164
76	848	109659	0.77	110507
77	946	110756	0.85	111702
78	900	110710	0.81	111610
79	925	110124	0.83	111049
80	902	109631	0.82	110533
81	871	109087	0.79	109958
82	869	109461	0.79	110330
83	886	110190	0.80	111076
84	868	109777	0.78	110645
85	875	109798	0.79	110673
86	916	109704	0.83	110620
87	891	109559	0.81	110450
88	912	109214	0.83	110126
89	928	108499	0.85	109427
90	838	109751	0.76	110589
91	915	108662	0.84	109577
92	1008	109267	0.91	110275
93	943	109542	0.85	110485
94	870	108607	0.79	109477
95	828	108829	0.76	109657
96	873	110029	0.79	110902
97	848	109504	0.77	110352
98	921	110162	0.83	111083
99	941	109658	0.85	110599
100	893	110443	0.80	111336
101	849	110207	0.76	111056
102	930	109340	0.84	110270
103	857	108899	0.78	109756
104	916	109270	0.83	110186
105	903	107845	0.83	108748
106	861	108827	0.78	109688
107	937	109120	0.85	110057
108	929	108981	0.85	109910
109	925	110004	0.83	110929
110	823	110257	0.74	111080
111	924	110557	0.83	111481
112	917	110099	0.83	111016
113	894	109690	0.81	110584
114	901	109368	0.82	110269
115	866	108878	0.79	109744
116	945	108884	0.86	109829
117	910	109188	0.83	110098
118	933	108471	0.85	109404
119	934	109564	0.85	110498
120	1025	108621	0.93	109646
121	945	109181	0.86	110126
122	915	108744	0.83	109659
123	898	108220	0.82	109118
124	914	108377	0.84	109291
125	929	108148	0.85	109077
126	935	109042	0.85	109977
127	1029	108987	0.94	110016
128	920	109094	0.84	110014
129	941	109111	0.86	110052
130	877	108359	0.80	109236
131	982	109748	0.89	110730
132	941	109111	0.86	110052
133	992	109265	0.90	110257
134	1037	108300	0.95	109337
135	1160	107801	1.06	108961
136	1332	108526	1.21	109858
137	1754	107306	1.61	109060
138	2115	106079	1.95	108194
139	4102	105525	3.74	109627
140	3915	103498	3.64	107413

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	2967	353557	0.83	356524
2	2852	328276	0.86	331128
3	2695	342455	0.78	345150
4	2702	351246	0.76	353948
5	2649	351700	0.75	354349
6	2573	354109	0.72	356682
7	2706	357097	0.75	359803
8	2698	354812	0.75	357510
9	2655	358002	0.74	360657
10	2579	355586	0.72	358165
11	2592	356925	0.72	359517
12	2657	354950	0.74	357607
13	2889	361463	0.79	364352
14	2745	357294	0.76	360039
15	2728	357643	0.76	360371
16	2878	354958	0.80	357836
17	2800	355040	0.78	357840
18	2794	354736	0.78	357530
19	2799	357578	0.78	360377
20	2865	355784	0.80	358649
21	2855	357743	0.79	360598
22	2891	359218	0.80	362109
23	2787	358775	0.77	361562
24	2765	359516	0.76	362281
25	2903	357757	0.80	360660
26	2888	356565	0.80	359453
27	2884	353946	0.81	356830
28	2935	354595	0.82	357530
29	2826	353986	0.79	356812
30	2845	353628	0.80	356473
31	2866	355828	0.80	358694
32	2787	356108	0.78	358895
33	2902	356709	0.81	359611
34	2851	358160	0.79	361011
35	2851	357494	0.79	360345
36	2972	355506	0.83	358478
37	2876	356986	0.80	359862
38	2830	355397	0.79	358227
39	2880	356278	0.80	359158
40	2893	354291	0.81	357184
41	2909	356291	0.81	359200
42	2817	356496	0.78	359313
43	2808	360027	0.77	362835
44	2820	358876	0.78	361696
45	2996	357772	0.83	360768
46	2912	356963	0.81	359875
47	3025	354845	0.85	357870
48	2890	353609	0.81	356499
49	2884	355031	0.81	357915
50	2822	351856	0.80	354678
51	2917	353735	0.82	356652
52	2892	356392	0.80	359284
53	2961	356612	0.82	359573
54	2903	357379	0.81	360282
55	2850	357331	0.79	360181
56	2973	356543	0.83	359516
57	2975	354595	0.83	357570
58	2919	355344	0.81	358263
59	2811	353832	0.79	356643
60	3029	354419	0.85	357448
61	2915	356207	0.81	359122
62	2955	357871	0.82	360826
63	2875	359824	0.79	362699
64	3001	361520	0.82	364521
65	2884	359886	0.79	362770
66	2867	358650	0.79	361517
67	2924	357757	0.81	360681
68	2989	358009	0.83	360998
69	2887	357625	0.80	360512
70	3032	357011	0.84	360043
71	2872	357764	0.80	360636
72	3008	356777	0.84	359785
73	3050	356293	0.85	359343
74	2997	357985	0.83	360982
75	2888	357255	0.80	360143
76	2993	358471	0.83	361464
77	2996	358610	0.83	361606
78	3074	357508	0.85	360582
79	3002	354974	0.84	357976
80	2904	355667	0.81	358571
81	3003	356492	0.84	359495
82	3090	358152	0.86	361242
83	3007	357353	0.83	360360
84	3096	358609	0.86	361705
85	3114	356839	0.87	359953
86	3018	356500	0.84	359518
87	3012	355449	0.84	358461
88	3072	356084	0.86	359156
89	2974	355580	0.83	358554
90	3059	357654	0.85	360713
91	3205	358464	0.89	361669
92	3160	356966	0.88	360126
93	3084	356611	0.86	359695
94	3039	357819	0.84	360858
95	3020	357681	0.84	360701
96	3090	357838	0.86	360928
97	3143	358902	0.87	362045
98	3029	357125	0.84	360154
99	3075	355880	0.86	358955
100	3138	356657	0.87	359795
101	3099	354485	0.87	357584
102	3112	355083	0.87	358195
103	3191	356085	0.89	359276
104	3082	356650	0.86	359732
105	3118	357124	0.87	360242
106	3095	358533	0.86	361628
107	3299	355770	0.92	359069
108	3203	355560	0.89	358763
109	3187	355889	0.89	359076
110	3121	356015	0.87	359136
111	3133	354311	0.88	357444
112	3267	356840	0.91	360107
113	3188	355773	0.89	358961
114	3213	354786	0.90	357999
115	3258	356136	0.91	359394
116	3054	356932	0.85	359986
117	3127	357637	0.87	360764
118	3416	357649	0.95	361065
119	3212	355505	0.90	358717
120	3372	357909	0.93	361281
121	3162	357362	0.88	360524
122	3357	357090	0.93	360447
123	3141	357603	0.87	360744
124	3165	358161	0.88	361326
125	3121	358253	0.86	361374
126	3289	357710	0.91	360999
127	3482	355775	0.97	359257
128	3074	356846	0.85	359920
129	3190	356400	0.89	359590
130	3224	357821	0.89	361045
131	3378	357336	0.94	360714
132	3446	356318	0.96	359764
133	3813	354239	1.06	358052
134	4014	351991	1.13	356005
135	4656	352839	1.30	357495
136	5821	354700	1.61	360521
137	7857	352534	2.18	360391
138	10229	350003	2.84	360232
139	11656	347156	3.25	358812
140	11160	336005	3.21	347165

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	14856	17385	46.08	32241
2	11809	15354	43.47	27163
3	11063	13946	44.24	25009
4	10640	13886	43.38	24526
5	9781	13329	42.32	23110
6	8896	12640	41.31	21536
7	8508	11759	41.98	20267
8	8249	11169	42.48	19418
9	8209	11030	42.67	19239
10	8198	10740	43.29	18938
11	8198	10586	43.64	18784
12	8146	10790	43.02	18936
13	8110	10669	43.19	18779
14	8084	10426	43.67	18510
15	8048	10648	43.05	18696
16	8162	10376	44.03	18538
17	8174	10546	43.66	18720
18	8070	10579	43.27	18649
19	7981	10527	43.12	18508
20	8115	10419	43.78	18534
21	8222	10307	44.37	18529
22	8029	10622	43.05	18651
23	7858	10364	43.12	18222
24	7884	10163	43.69	18047
25	7994	10148	44.06	18142
26	7636	10041	43.20	17677
27	7886	9859	44.44	17745
28	7628	9756	43.88	17384
29	7527	9572	44.02	17099
30	7484	9488	44.10	16972
31	7446	9491	43.96	16937
32	7357	9507	43.63	16864
33	7314	9409	43.74	16723
34	7226	9221	43.94	16447
35	7163	9134	43.95	16297
36	7164	9143	43.93	16307
37	6911	9129	43.09	16040
38	7001	8869	44.11	15870
39	6942	8821	44.04	15763
40	6799	8907	43.29	15706
41	6699	8568	43.88	15267
42	6641	8609	43.55	15250
43	6575	8353	44.04	14928
44	6476	8307	43.81	14783
45	6430	8213	43.91	14643
46	6311	8125	43.72	14436
47	6269	8061	43.75	14330
48	5931	7703	43.50	13634
49	5978	7648	43.87	13626
50	5965	7729	43.56	13694
51	6004	7583	44.19	13587
52	5681	7623	42.70	13304
53	5862	7602	43.54	13464
54	5697	7343	43.69	13040
55	5726	7328	43.86	13054
56	5680	7296	43.77	12976
57	5663	7133	44.26	12796
58	5574	7042	44.18	12616
59	5501	7029	43.90	12530
60	5592	6830	45.02	12422
61	5404	6895	43.94	12299
62	5061	6748	42.86	11809
63	5274	6581	44.49	11855
64	5075	6590	43.51	11665
65	5078	6372	44.35	11450
66	5027	6401	43.99	11428
67	4956	6304	44.01	11260
68	4932	6132	44.58	11064
69	4843	6322	43.38	11165
70	4785	6124	43.86	10909
71	4697	6021	43.82	10718
72	4687	5971	43.98	10658
73	4611	5658	44.90	10269
74	4539	5810	43.86	10349
75	4700	5813	44.71	10513
76	4421	5626	44.00	10047
77	4416	5681	43.74	10097
78	4444	5674	43.92	10118
79	4429	5393	45.09	9822
80	4226	5429	43.77	9655
81	4247	5326	44.36	9573
82	4096	5233	43.91	9329
83	4085	5211	43.94	9296
84	4041	5051	44.45	9092
85	3890	5021	43.65	8911
86	3884	5092	43.27	8976
87	3907	4979	43.97	8886
88	3831	4881	43.97	8712
89	3753	4751	44.13	8504
90	3653	4784	43.30	8437
91	3675	4742	43.66	8417
92	3703	4593	44.64	8296
93	3553	4597	43.60	8150
94	3524	4599	43.38	8123
95	3493	4437	44.05	7930
96	3524	4231	45.44	7755
97	3263	4268	43.33	7531
98	3371	4263	44.16	7634
99	3267	4327	43.02	7594
100	3270	4173	43.93	7443
101	3200	4129	43.66	7329
102	3195	4146	43.52	7341
103	3194	3898	45.04	7092
104	3209	3968	44.71	7177
105	3070	3855	44.33	6925
106	2905	3965	42.29	6870
107	3082	3740	45.18	6822
108	2945	3846	43.37	6791
109	2925	3700	44.15	6625
110	3010	3599	45.54	6609
111	2844	3565	44.38	6409
112	2762	3619	43.28	6381
113	2897	3486	45.39	6383
114	2779	3426	44.79	6205
115	2836	3369	45.71	6205
116	2720	3569	43.25	6289
117	2643	3424	43.56	6067
118	2629	3335	44.08	5964
119	2517	3295	43.31	5812
120	2519	3182	44.19	5701
121	2561	3224	44.27	5785
122	2453	3126	43.97	5579
123	2407	3027	44.30	5434
124	2449	3053	44.51	5502
125	2348	3022	43.72	5370
126	2251	3043	42.52	5294
127	2304	2968	43.70	5272
128	2224	2821	44.08	5045
129	2193	2820	43.75	5013
130	2219	2882	43.50	5101
131	2234	2767	44.67	5001
132	2180	2712	44.56	4892
133	2018	2707	42.71	4725
134	2061	2539	44.80	4600
135	2094	2592	44.69	4686
136	1973	2497	44.14	4470
137	1994	2382	45.57	4376
138	1985	2483	44.43	4468
139	1776	2286	43.72	4062
140	1694	2159	43.97	3853

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	27628	64325	30.05	91953
2	20814	107129	16.27	127943
3	8887	104038	7.87	112925
4	5707	102469	5.28	108176
5	4241	106873	3.82	111114
6	2755	104772	2.56	107527
7	2041	98514	2.03	100555
8	1648	94846	1.71	96494
9	1258	93687	1.32	94945
10	1127	92840	1.20	93967
11	979	91791	1.06	92770
12	849	92223	0.91	93072
13	819	90353	0.90	91172
14	776	90327	0.85	91103
15	722	89709	0.80	90431
16	727	89823	0.80	90550
17	780	88292	0.88	89072
18	725	88848	0.81	89573
19	754	88103	0.85	88857
20	719	87769	0.81	88488
21	691	87084	0.79	87775
22	702	86540	0.80	87242
23	690	85926	0.80	86616
24	662	85635	0.77	86297
25	717	84815	0.84	85532
26	708	84465	0.83	85173
27	714	83584	0.85	84298
28	715	82655	0.86	83370
29	700	81464	0.85	82164
30	654	80217	0.81	80871
31	636	80113	0.79	80749
32	641	79744	0.80	80385
33	594	79127	0.75	79721
34	620	77959	0.79	78579
35	650	77205	0.83	77855
36	623	76598	0.81	77221
37	620	75352	0.82	75972
38	643	74690	0.85	75333
39	651	74462	0.87	75113
40	614	73622	0.83	74236
41	653	72969	0.89	73622
42	634	71608	0.88	72242
43	573	71165	0.80	71738
44	559	70666	0.78	71225
45	534	69694	0.76	70228
46	553	69186	0.79	69739
47	573	68831	0.83	69404
48	562	67460	0.83	68022
49	558	65910	0.84	66468
50	537	65903	0.81	66440
51	571	65119	0.87	65690
52	559	64133	0.86	64692
53	530	63705	0.83	64235
54	513	63067	0.81	63580
55	521	61860	0.84	62381
56	537	61467	0.87	62004
57	488	60825	0.80	61313
58	480	60599	0.79	61079
59	509	59207	0.85	59716
60	540	58671	0.91	59211
61	481	58053	0.82	58534
62	429	57730	0.74	58159
63	455	56655	0.80	57110
64	487	55960	0.86	56447
65	463	55406	0.83	55869
66	480	54756	0.87	55236
67	460	53820	0.85	54280
68	454	53449	0.84	53903
69	459	52463	0.87	52922
70	469	51874	0.90	52343
71	426	51476	0.82	51902
72	420	51023	0.82	51443
73	411	50155	0.81	50566
74	406	49956	0.81	50362
75	399	49299	0.80	49698
76	390	48618	0.80	49008
77	363	47592	0.76	47955
78	420	47393	0.88	47813
79	355	46931	0.75	47286
80	362	46429	0.77	46791
81	386	45867	0.83	46253
82	399	45321	0.87	45720
83	384	44664	0.85	45048
84	382	44004	0.86	44386
85	355	43436	0.81	43791
86	350	42846	0.81	43196
87	327	42673	0.76	43000
88	369	42289	0.87	42658
89	360	41267	0.86	41627
90	297	41094	0.72	41391
91	347	40921	0.84	41268
92	368	39861	0.91	40229
93	346	39444	0.87	39790
94	312	38988	0.79	39300
95	346	38615	0.89	38961
96	319	37794	0.84	38113
97	340	37134	0.91	37474
98	348	36703	0.94	37051
99	339	36422	0.92	36761
100	316	36097	0.87	36413
101	350	35461	0.98	35811
102	313	34933	0.89	35246
103	320	34205	0.93	34525
104	296	33898	0.87	34194
105	310	33743	0.91	34053
106	297	33142	0.89	33439
107	316	32745	0.96	33061
108	309	32477	0.94	32786
109	261	32084	0.81	32345
110	278	31516	0.87	31794
111	322	31393	1.02	31715
112	289	30676	0.93	30965
113	285	30293	0.93	30578
114	263	29857	0.87	30120
115	286	29558	0.96	29844
116	281	28946	0.96	29227
117	291	28356	1.02	28647
118	241	28083	0.85	28324
119	277	28081	0.98	28358
120	254	27779	0.91	28033
121	243	27207	0.89	27450
122	262	26693	0.97	26955
123	230	26349	0.87	26579
124	253	25875	0.97	26128
125	261	25941	1.00	26202
126	266	24990	1.05	25256
127	281	25117	1.11	25398
128	246	24552	0.99	24798
129	254	23980	1.05	24234
130	244	23651	1.02	23895
131	252	23629	1.06	23881
132	212	23031	0.91	23243
133	239	22758	1.04	22997
134	247	22223	1.10	22470
135	242	21882	1.09	22124
136	230	21529	1.06	21759
137	214	20901	1.01	21115
138	198	20712	0.95	20910
139	160	19575	0.81	19735
140	171	17702	0.96	17873

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	81147	209673	27.90	290820
2	62996	227422	21.69	290418
3	49829	260507	16.06	310336
4	35695	285732	11.11	321427
5	23130	306431	7.02	329561
6	16468	327676	4.79	344144
7	11934	336561	3.42	348495
8	9066	333084	2.65	342150
9	6926	332753	2.04	339679
10	5477	330521	1.63	335998
11	4508	327718	1.36	332226
12	3722	325446	1.13	329168
13	3290	322430	1.01	325720
14	3064	318947	0.95	322011
15	2815	315373	0.88	318188
16	2603	309991	0.83	312594
17	2713	307318	0.88	310031
18	2535	303203	0.83	305738
19	2476	300665	0.82	303141
20	2484	295688	0.83	298172
21	2324	292603	0.79	294927
22	2208	289591	0.76	291799
23	2250	286549	0.78	288799
24	2099	284791	0.73	286890
25	2247	280834	0.79	283081
26	2132	277888	0.76	280020
27	2118	275202	0.76	277320
28	2156	272640	0.78	274796
29	2257	270201	0.83	272458
30	2043	267184	0.76	269227
31	2049	264889	0.77	266938
32	1934	263917	0.73	265851
33	2022	260770	0.77	262792
34	2038	256898	0.79	258936
35	1929	255231	0.75	257160
36	2053	252659	0.81	254712
37	2037	249178	0.81	251215
38	1875	247919	0.75	249794
39	2000	244374	0.81	246374
40	1878	241652	0.77	243530
41	1951	239225	0.81	241176
42	1932	236630	0.81	238562
43	1825	234074	0.77	235899
44	1786	230835	0.77	232621
45	1761	228847	0.76	230608
46	1837	225356	0.81	227193
47	1779	222722	0.79	224501
48	1646	220563	0.74	222209
49	1716	217523	0.78	219239
50	1687	214556	0.78	216243
51	1716	212346	0.80	214062
52	1657	209978	0.78	211635
53	1692	208268	0.81	209960
54	1608	205917	0.77	207525
55	1607	203588	0.78	205195
56	1615	201752	0.79	203367
57	1579	199269	0.79	200848
58	1510	196837	0.76	198347
59	1542	194980	0.78	196522
60	1561	193076	0.80	194637
61	1513	190486	0.79	191999
62	1472	187756	0.78	189228
63	1497	186157	0.80	187654
64	1467	184411	0.79	185878
65	1462	182155	0.80	183617
66	1413	179676	0.78	181089
67	1373	177766	0.77	179139
68	1379	174196	0.79	175575
69	1472	171571	0.85	173043
70	1503	169549	0.88	171052
71	1377	168110	0.81	169487
72	1336	166151	0.80	167487
73	1307	164419	0.79	165726
74	1330	162775	0.81	164105
75	1294	160053	0.80	161347
76	1264	158387	0.79	159651
77	1228	156696	0.78	157924
78	1252	154931	0.80	156183
79	1289	152888	0.84	154177
80	1198	150678	0.79	151876
81	1232	148719	0.82	149951
82	1213	146933	0.82	148146
83	1104	146087	0.75	147191
84	1186	143752	0.82	144938
85	1116	142060	0.78	143176
86	1099	140030	0.78	141129
87	1087	138669	0.78	139756
88	1065	137190	0.77	138255
89	1252	135353	0.92	136605
90	1044	134348	0.77	135392
91	1072	132170	0.80	133242
92	1102	130467	0.84	131569
93	1116	129096	0.86	130212
94	1063	127556	0.83	128619
95	1163	126519	0.91	127682
96	1083	124823	0.86	125906
97	1032	123106	0.83	124138
98	1054	120432	0.87	121486
99	1046	118985	0.87	120031
100	1001	117521	0.84	118522
101	991	116346	0.84	117337
102	1010	115043	0.87	116053
103	1005	113977	0.87	114982
104	939	111978	0.83	112917
105	976	111196	0.87	112172
106	931	109316	0.84	110247
107	1075	107545	0.99	108620
108	934	106532	0.87	107466
109	891	105348	0.84	106239
110	967	104068	0.92	105035
111	967	102168	0.94	103135
112	1013	100556	1.00	101569
113	900	99814	0.89	100714
114	867	98286	0.87	99153
115	880	96925	0.90	97805
116	906	95440	0.94	96346
117	911	94740	0.95	95651
118	879	92745	0.94	93624
119	877	91792	0.95	92669
120	865	90517	0.95	91382
121	840	89397	0.93	90237
122	867	88107	0.97	88974
123	796	87011	0.91	87807
124	857	85206	1.00	86063
125	845	84505	0.99	85350
126	853	83446	1.01	84299
127	833	81478	1.01	82311
128	832	80952	1.02	81784
129	729	79094	0.91	79823
130	787	78328	0.99	79115
131	812	77679	1.03	78491
132	820	76654	1.06	77474
133	705	75526	0.92	76231
134	754	74329	1.00	75083
135	716	72457	0.98	73173
136	721	71131	1.00	71852
137	670	70315	0.94	70985
138	624	67951	0.91	68575
139	538	65711	0.81	66249
140	476	59251	0.80	59727

