CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
112	8419	28319	22.92	36738
113	8597	27953	23.52	36550
114	8456	27861	23.28	36317
115	8353	27614	23.22	35967
116	8459	27859	23.29	36318
117	8724	28399	23.50	37123
118	8602	27905	23.56	36507
119	8502	27817	23.41	36319
120	8398	28005	23.07	36403
121	8584	28038	23.44	36622
122	8515	28241	23.17	36756
123	8567	28065	23.39	36632
124	8288	27900	22.90	36188
125	8341	27954	22.98	36295
126	8328	27783	23.06	36111
127	8539	27887	23.44	36426
128	8489	27846	23.36	36335
129	8560	28296	23.23	36856
130	8528	27908	23.41	36436
131	8373	27883	23.09	36256
132	8566	28066	23.38	36632
133	8607	28247	23.35	36854
134	8533	28040	23.33	36573
135	8568	27857	23.52	36425
136	8571	27888	23.51	36459
137	8495	27469	23.62	35964
138	8515	27506	23.64	36021
139	8548	27171	23.93	35719
140	8694	26644	24.60	35338

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	792	186901	0.42	187693
2	802	164774	0.48	165576
3	642	168329	0.38	168971
4	698	170912	0.41	171610
5	641	170951	0.37	171592
6	686	171138	0.40	171824
7	711	171419	0.41	172130
8	718	169927	0.42	170645
9	740	171821	0.43	172561
10	721	173534	0.41	174255
11	690	174005	0.39	174695
12	743	173198	0.43	173941
13	800	172779	0.46	173579
14	784	174145	0.45	174929
15	706	175282	0.40	175988
16	776	175130	0.44	175906
17	722	173016	0.42	173738
18	754	173810	0.43	174564
19	712	174913	0.41	175625
20	718	173686	0.41	174404
21	741	173149	0.43	173890
22	751	173281	0.43	174032
23	735	175077	0.42	175812
24	715	177605	0.40	178320
25	740	178201	0.41	178941
26	740	175738	0.42	176478
27	800	176087	0.45	176887
28	734	176057	0.42	176791
29	691	177155	0.39	177846
30	760	173955	0.43	174715
31	777	176306	0.44	177083
32	726	176109	0.41	176835
33	733	176569	0.41	177302
34	739	176311	0.42	177050
35	744	176129	0.42	176873
36	851	178033	0.48	178884
37	749	177799	0.42	178548
38	694	176527	0.39	177221
39	767	175557	0.43	176324
40	709	175365	0.40	176074
41	782	174444	0.45	175226
42	723	176184	0.41	176907
43	673	177190	0.38	177863
44	678	176344	0.38	177022
45	855	177408	0.48	178263
46	706	176369	0.40	177075
47	874	176570	0.49	177444
48	720	178059	0.40	178779
49	784	178463	0.44	179247
50	758	178083	0.42	178841
51	797	176205	0.45	177002
52	731	176591	0.41	177322
53	763	176127	0.43	176890
54	717	177349	0.40	178066
55	729	177926	0.41	178655
56	747	177108	0.42	177855
57	833	177892	0.47	178725
58	778	177462	0.44	178240
59	715	176206	0.40	176921
60	801	176272	0.45	177073
61	746	175784	0.42	176530
62	740	175742	0.42	176482
63	749	175603	0.42	176352
64	756	175858	0.43	176614
65	730	176527	0.41	177257
66	788	177159	0.44	177947
67	788	176800	0.44	177588
68	717	178006	0.40	178723
69	739	177954	0.41	178693
70	773	178622	0.43	179395
71	765	177518	0.43	178283
72	757	178021	0.42	178778
73	855	177792	0.48	178647
74	762	176589	0.43	177351
75	693	175813	0.39	176506
76	706	177638	0.40	178344
77	825	179551	0.46	180376
78	750	178534	0.42	179284
79	731	178136	0.41	178867
80	681	177574	0.38	178255
81	765	177223	0.43	177988
82	798	177563	0.45	178361
83	795	178628	0.44	179423
84	747	176918	0.42	177665
85	769	176849	0.43	177618
86	797	178645	0.44	179442
87	692	176763	0.39	177455
88	739	175975	0.42	176714
89	746	176085	0.42	176831
90	751	176745	0.42	177496
91	714	176721	0.40	177435
92	859	177633	0.48	178492
93	716	177688	0.40	178404
94	769	175949	0.44	176718
95	781	176039	0.44	176820
96	753	177188	0.42	177941
97	711	176984	0.40	177695
98	734	177724	0.41	178458
99	786	178343	0.44	179129
100	786	177941	0.44	178727
101	744	178000	0.42	178744
102	775	176642	0.44	177417
103	763	176359	0.43	177122
104	786	176137	0.44	176923
105	780	175172	0.44	175952
106	726	176134	0.41	176860
107	871	176522	0.49	177393
108	734	176682	0.41	177416
109	759	177620	0.43	178379
110	810	177506	0.45	178316
111	743	178401	0.41	179144
112	814	179219	0.45	180033
113	802	177410	0.45	178212
114	797	176143	0.45	176940
115	808	176233	0.46	177041
116	731	176935	0.41	177666
117	752	175979	0.43	176731
118	850	176077	0.48	176927
119	795	176374	0.45	177169
120	945	175869	0.53	176814
121	838	177257	0.47	178095
122	818	176501	0.46	177319
123	753	174758	0.43	175511
124	678	175487	0.38	176165
125	798	175036	0.45	175834
126	829	175845	0.47	176674
127	962	177266	0.54	178228
128	727	175811	0.41	176538
129	787	176127	0.44	176914
130	808	175959	0.46	176767
131	830	176710	0.47	177540
132	780	176871	0.44	177651
133	947	177157	0.53	178104
134	909	173961	0.52	174870
135	1054	174999	0.60	176053
136	1245	174799	0.71	176044
137	1581	174280	0.90	175861
138	2116	173512	1.20	175628
139	4137	171342	2.36	175479
140	3721	164655	2.21	168376

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	2513	569705	0.44	572218
2	2202	527143	0.42	529345
3	2130	549208	0.39	551338
4	2317	570372	0.40	572689
5	2169	568125	0.38	570294
6	2069	572840	0.36	574909
7	2073	577527	0.36	579600
8	2242	574685	0.39	576927
9	2200	579869	0.38	582069
10	2280	576576	0.39	578856
11	2189	578767	0.38	580956
12	2179	574685	0.38	576864
13	2395	586541	0.41	588936
14	2330	577322	0.40	579652
15	2169	580029	0.37	582198
16	2323	574499	0.40	576822
17	2270	574416	0.39	576686
18	2252	573535	0.39	575787
19	2258	577631	0.39	579889
20	2298	574980	0.40	577278
21	2334	577468	0.40	579802
22	2308	581425	0.40	583733
23	2225	580697	0.38	582922
24	2289	582423	0.39	584712
25	2233	579975	0.38	582208
26	2382	575121	0.41	577503
27	2414	573935	0.42	576349
28	2342	575399	0.41	577741
29	2305	574572	0.40	576877
30	2351	574531	0.41	576882
31	2387	577381	0.41	579768
32	2389	577017	0.41	579406
33	2456	578893	0.42	581349
34	2399	580753	0.41	583152
35	2383	581479	0.41	583862
36	2585	576097	0.45	578682
37	2343	579305	0.40	581648
38	2348	575051	0.41	577399
39	2376	576816	0.41	579192
40	2326	576031	0.40	578357
41	2610	577391	0.45	580001
42	2277	579728	0.39	582005
43	2243	583859	0.38	586102
44	2271	581326	0.39	583597
45	2442	580294	0.42	582736
46	2300	579084	0.40	581384
47	2607	573785	0.45	576392
48	2299	573701	0.40	576000
49	2385	575725	0.41	578110
50	2226	571939	0.39	574165
51	2329	573308	0.40	575637
52	2311	577110	0.40	579421
53	2425	577815	0.42	580240
54	2385	577911	0.41	580296
55	2293	578394	0.39	580687
56	2445	576661	0.42	579106
57	2529	575163	0.44	577692
58	2401	577947	0.41	580348
59	2377	574588	0.41	576965
60	2549	575298	0.44	577847
61	2357	578487	0.41	580844
62	2425	580574	0.42	582999
63	2341	581166	0.40	583507
64	2305	586082	0.39	588387
65	2391	582926	0.41	585317
66	2307	581325	0.40	583632
67	2536	580362	0.44	582898
68	2386	582808	0.41	585194
69	2362	580555	0.41	582917
70	2557	578860	0.44	581417
71	2395	577298	0.41	579693
72	2407	578572	0.41	580979
73	2673	577847	0.46	580520
74	2530	578224	0.44	580754
75	2363	578264	0.41	580627
76	2481	580511	0.43	582992
77	2569	578601	0.44	581170
78	2537	580711	0.43	583248
79	2439	576193	0.42	578632
80	2461	575814	0.43	578275
81	2412	578501	0.42	580913
82	2475	580190	0.42	582665
83	2534	576717	0.44	579251
84	2613	579328	0.45	581941
85	2498	578706	0.43	581204
86	2622	577821	0.45	580443
87	2442	575870	0.42	578312
88	2544	576329	0.44	578873
89	2546	577454	0.44	580000
90	2606	579865	0.45	582471
91	2586	580768	0.44	583354
92	2915	579527	0.50	582442
93	2511	579416	0.43	581927
94	2584	577993	0.45	580577
95	2566	580764	0.44	583330
96	2530	578697	0.44	581227
97	2457	581071	0.42	583528
98	2617	578520	0.45	581137
99	2563	577122	0.44	579685
100	2624	579730	0.45	582354
101	2471	576539	0.43	579010
102	2644	575278	0.46	577922
103	2528	575547	0.44	578075
104	2712	577780	0.47	580492
105	2712	580229	0.47	582941
106	2537	580567	0.44	583104
107	2879	575952	0.50	578831
108	2667	577552	0.46	580219
109	2506	577149	0.43	579655
110	2588	576846	0.45	579434
111	2568	579293	0.44	581861
112	2745	579392	0.47	582137
113	2833	577382	0.49	580215
114	2628	577302	0.45	579930
115	2721	577421	0.47	580142
116	2583	578958	0.44	581541
117	2672	579822	0.46	582494
118	2845	581410	0.49	584255
119	2694	578293	0.46	580987
120	2960	580682	0.51	583642
121	2738	580526	0.47	583264
122	2777	579321	0.48	582098
123	2630	581010	0.45	583640
124	2601	581218	0.45	583819
125	2798	581043	0.48	583841
126	2790	580488	0.48	583278
127	3289	579086	0.56	582375
128	2648	579102	0.46	581750
129	2661	579057	0.46	581718
130	2670	578028	0.46	580698
131	3005	577504	0.52	580509
132	3011	577669	0.52	580680
133	3316	574488	0.57	577804
134	3660	571849	0.64	575509
135	4218	572566	0.73	576784
136	5239	575348	0.90	580587
137	7563	573316	1.30	580879
138	10024	569758	1.73	579782
139	11545	564526	2.00	576071
140	10915	546097	1.96	557012

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	17677	33257	34.71	50934
2	12792	31606	28.81	44398
3	10984	29126	27.38	40110
4	10623	29111	26.74	39734
5	9222	29015	24.12	38237
6	8356	27297	23.44	35653
7	7992	26042	23.48	34034
8	7757	24841	23.80	32598
9	7626	24250	23.92	31876
10	7379	24235	23.34	31614
11	7274	24252	23.07	31526
12	7284	24135	23.18	31419
13	7274	24012	23.25	31286
14	7437	24552	23.25	31989
15	7339	24372	23.14	31711
16	7353	24208	23.30	31561
17	7460	24309	23.48	31769
18	7385	24463	23.19	31848
19	7463	24336	23.47	31799
20	7424	24376	23.35	31800
21	7617	24600	23.64	32217
22	7422	24213	23.46	31635
23	7451	24001	23.69	31452
24	7372	23825	23.63	31197
25	7436	23926	23.71	31362
26	7182	23675	23.28	30857
27	7210	23453	23.51	30663
28	7221	23247	23.70	30468
29	7264	22687	24.25	29951
30	6972	23077	23.20	30049
31	6996	22878	23.42	29874
32	7025	22449	23.83	29474
33	7006	22662	23.61	29668
34	6888	22580	23.37	29468
35	6643	22492	22.80	29135
36	6962	22124	23.94	29086
37	6777	22058	23.50	28835
38	6625	22034	23.12	28659
39	6697	21713	23.57	28410
40	6646	21764	23.39	28410
41	6459	21300	23.27	27759
42	6326	21285	22.91	27611
43	6455	21268	23.28	27723
44	6384	20846	23.44	27230
45	6400	20597	23.71	26997
46	6261	20281	23.59	26542
47	6122	20367	23.11	26489
48	6151	20254	23.29	26405
49	5927	20155	22.72	26082
50	6049	19784	23.42	25833
51	6064	19548	23.68	25612
52	5993	19294	23.70	25287
53	5929	19018	23.77	24947
54	5737	19128	23.07	24865
55	5735	18963	23.22	24698
56	5693	18972	23.08	24665
57	5690	18694	23.33	24384
58	5644	18262	23.61	23906
59	5560	18336	23.27	23896
60	5450	18129	23.11	23579
61	5530	17749	23.76	23279
62	5428	17736	23.43	23164
63	5508	17417	24.03	22925
64	5265	17456	23.17	22721
65	5336	17059	23.83	22395
66	5183	16734	23.65	21917
67	5226	16830	23.69	22056
68	5239	16644	23.94	21883
69	5106	16812	23.30	21918
70	4984	16436	23.27	21420
71	5067	16190	23.84	21257
72	4899	15962	23.48	20861
73	4883	15662	23.77	20545
74	4885	15663	23.77	20548
75	4802	15546	23.60	20348
76	4676	15347	23.35	20023
77	4613	15311	23.15	19924
78	4612	15008	23.51	19620
79	4549	15222	23.01	19771
80	4640	15073	23.54	19713
81	4608	14350	24.31	18958
82	4492	14674	23.44	19166
83	4459	14355	23.70	18814
84	4328	14109	23.47	18437
85	4284	13923	23.53	18207
86	4373	13910	23.92	18283
87	4143	13756	23.15	17899
88	4099	13389	23.44	17488
89	4073	13431	23.27	17504
90	4074	13368	23.36	17442
91	4082	12881	24.06	16963
92	4027	13039	23.60	17066
93	3907	12894	23.25	16801
94	3848	12678	23.28	16526
95	3947	12330	24.25	16277
96	3734	12248	23.36	15982
97	3694	12037	23.48	15731
98	3727	12052	23.62	15779
99	3655	11869	23.54	15524
100	3600	11738	23.47	15338
101	3617	11743	23.55	15360
102	3522	11615	23.27	15137
103	3524	11356	23.68	14880
104	3407	11235	23.27	14642
105	3526	11418	23.59	14944
106	3317	10941	23.26	14258
107	3348	10893	23.51	14241
108	3283	10796	23.32	14079
109	3182	10731	22.87	13913
110	3226	10587	23.35	13813
111	3116	10519	22.85	13635
112	3137	10019	23.84	13156
113	3091	10010	23.59	13101
114	3049	9982	23.40	13031
115	3046	9681	23.93	12727
116	3067	9774	23.88	12841
117	2983	9645	23.62	12628
118	2896	9579	23.21	12475
119	2954	9275	24.16	12229
120	2861	9224	23.67	12085
121	2811	9332	23.15	12143
122	2718	9190	22.82	11908
123	2787	9042	23.56	11829
124	2768	8784	23.96	11552
125	2705	8787	23.54	11492
126	2653	8509	23.77	11162
127	2760	8343	24.86	11103
128	2531	8387	23.18	10918
129	2637	8333	24.04	10970
130	2467	8135	23.27	10602
131	2570	8019	24.27	10589
132	2588	7913	24.65	10501
133	2486	7754	24.28	10240
134	2469	7812	24.02	10281
135	2468	7522	24.70	9990
136	2333	7250	24.35	9583
137	2222	7130	23.76	9352
138	2169	7090	23.43	9259
139	2063	6826	23.21	8889
140	2072	6088	25.39	8160

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	45033	105443	29.93	150476
2	32830	177022	15.64	209852
3	14006	172039	7.53	186045
4	8795	170230	4.91	179025
5	6118	177959	3.32	184077
6	3823	175318	2.13	179141
7	2782	165316	1.65	168098
8	2079	159065	1.29	161144
9	1577	157997	0.99	159574
10	1173	156634	0.74	157807
11	927	155555	0.59	156482
12	833	155323	0.53	156156
13	726	154369	0.47	155095
14	759	153641	0.49	154400
15	706	153514	0.46	154220
16	649	152284	0.42	152933
17	748	153682	0.48	154430
18	732	153005	0.48	153737
19	732	152155	0.48	152887
20	670	150850	0.44	151520
21	609	151273	0.40	151882
22	652	150307	0.43	150959
23	623	151309	0.41	151932
24	622	149974	0.41	150596
25	668	148108	0.45	148776
26	568	148989	0.38	149557
27	655	147619	0.44	148274
28	620	146715	0.42	147335
29	649	144910	0.45	145559
30	592	143692	0.41	144284
31	586	143535	0.41	144121
32	587	143306	0.41	143893
33	573	142351	0.40	142924
34	589	140164	0.42	140753
35	567	139753	0.40	140320
36	676	138970	0.48	139646
37	725	137483	0.52	138208
38	586	136408	0.43	136994
39	678	135991	0.50	136669
40	615	134721	0.45	135336
41	624	134289	0.46	134913
42	602	133284	0.45	133886
43	553	131450	0.42	132003
44	585	130673	0.45	131258
45	548	129114	0.42	129662
46	600	128921	0.46	129521
47	559	127839	0.44	128398
48	572	126358	0.45	126930
49	538	125184	0.43	125722
50	488	124558	0.39	125046
51	536	122901	0.43	123437
52	484	122233	0.39	122717
53	594	120777	0.49	121371
54	523	119822	0.43	120345
55	519	118974	0.43	119493
56	532	117778	0.45	118310
57	515	116873	0.44	117388
58	508	115880	0.44	116388
59	494	114696	0.43	115190
60	511	114192	0.45	114703
61	459	111891	0.41	112350
62	497	111757	0.44	112254
63	481	109461	0.44	109942
64	511	108784	0.47	109295
65	538	107164	0.50	107702
66	468	106756	0.44	107224
67	511	105327	0.48	105838
68	466	104826	0.44	105292
69	507	103596	0.49	104103
70	528	102518	0.51	103046
71	444	102012	0.43	102456
72	450	101235	0.44	101685
73	497	100210	0.49	100707
74	450	99127	0.45	99577
75	407	98170	0.41	98577
76	422	97092	0.43	97514
77	466	95885	0.48	96351
78	449	95003	0.47	95452
79	379	94131	0.40	94510
80	474	93718	0.50	94192
81	425	92687	0.46	93112
82	407	91757	0.44	92164
83	411	91015	0.45	91426
84	449	90232	0.50	90681
85	381	87880	0.43	88261
86	412	87771	0.47	88183
87	395	86917	0.45	87312
88	351	86440	0.40	86791
89	410	84576	0.48	84986
90	381	84011	0.45	84392
91	399	83568	0.48	83967
92	373	82021	0.45	82394
93	416	81664	0.51	82080
94	436	80341	0.54	80777
95	419	79432	0.52	79851
96	427	78606	0.54	79033
97	407	77177	0.52	77584
98	388	76587	0.50	76975
99	389	75396	0.51	75785
100	388	75124	0.51	75512
101	422	73972	0.57	74394
102	424	73471	0.57	73895
103	399	71789	0.55	72188
104	419	71463	0.58	71882
105	396	70642	0.56	71038
106	356	69811	0.51	70167
107	448	69358	0.64	69806
108	400	68033	0.58	68433
109	391	67901	0.57	68292
110	416	66713	0.62	67129
111	368	65922	0.56	66290
112	444	64435	0.68	64879
113	365	63867	0.57	64232
114	394	63420	0.62	63814
115	391	62442	0.62	62833
116	383	61516	0.62	61899
117	402	61056	0.65	61458
118	390	60318	0.64	60708
119	366	59744	0.61	60110
120	373	58756	0.63	59129
121	383	57223	0.66	57606
122	380	57169	0.66	57549
123	368	56960	0.64	57328
124	378	55539	0.68	55917
125	428	54472	0.78	54900
126	378	54241	0.69	54619
127	366	53583	0.68	53949
128	343	52953	0.64	53296
129	384	51732	0.74	52116
130	407	50791	0.79	51198
131	403	50364	0.79	50767
132	359	49488	0.72	49847
133	385	48766	0.78	49151
134	398	48195	0.82	48593
135	316	47694	0.66	48010
136	317	46763	0.67	47080
137	303	45043	0.67	45346
138	294	43970	0.66	44264
139	250	41758	0.60	42008
140	165	36946	0.44	37111

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	131944	341402	27.87	473346
2	101063	371700	21.38	472763
3	80174	427957	15.78	508131
4	56690	469490	10.77	526180
5	36050	507197	6.64	543247
6	25012	544409	4.39	569421
7	17676	559061	3.06	576737
8	12866	556173	2.26	569039
9	9441	554637	1.67	564078
10	6870	553804	1.23	560674
11	5311	553270	0.95	558581
12	4280	547805	0.78	552085
13	3541	546459	0.64	550000
14	3305	540521	0.61	543826
15	2820	536477	0.52	539297
16	2551	529672	0.48	532223
17	2681	525564	0.51	528245
18	2364	521471	0.45	523835
19	2357	517643	0.45	520000
20	2160	513552	0.42	515712
21	1984	508492	0.39	510476
22	2060	504962	0.41	507022
23	2090	499964	0.42	502054
24	1973	497557	0.39	499530
25	2038	492478	0.41	494516
26	1854	490268	0.38	492122
27	1959	486159	0.40	488118
28	2006	482626	0.41	484632
29	2163	479081	0.45	481244
30	1831	474896	0.38	476727
31	1934	473524	0.41	475458
32	1942	472533	0.41	474475
33	1777	470092	0.38	471869
34	1893	465581	0.40	467474
35	1854	463368	0.40	465222
36	2022	458715	0.44	460737
37	2355	454840	0.52	457195
38	1882	449661	0.42	451543
39	2020	446503	0.45	448523
40	1774	443861	0.40	445635
41	1864	440199	0.42	442063
42	1831	436648	0.42	438479
43	1733	431874	0.40	433607
44	1764	427948	0.41	429712
45	1610	424906	0.38	426516
46	1762	419400	0.42	421162
47	1678	416867	0.40	418545
48	1696	412974	0.41	414670
49	1703	408742	0.41	410445
50	1681	404916	0.41	406597
51	1647	401562	0.41	403209
52	1609	397029	0.40	398638
53	1711	396128	0.43	397839
54	1668	391788	0.42	393456
55	1576	388782	0.40	390358
56	1748	384189	0.45	385937
57	1571	381201	0.41	382772
58	1518	378624	0.40	380142
59	1650	375502	0.44	377152
60	1592	371934	0.43	373526
61	1470	368755	0.40	370225
62	1448	366272	0.39	367720
63	1574	362790	0.43	364364
64	1480	360038	0.41	361518
65	1548	355484	0.43	357032
66	1565	352215	0.44	353780
67	1479	347814	0.42	349293
68	1460	344243	0.42	345703
69	1552	339995	0.45	341547
70	1700	335237	0.50	336937
71	1429	332271	0.43	333700
72	1388	329959	0.42	331347
73	1494	326649	0.46	328143
74	1379	322646	0.43	324025
75	1342	318876	0.42	320218
76	1375	317222	0.43	318597
77	1365	313944	0.43	315309
78	1435	310333	0.46	311768
79	1352	307309	0.44	308661
80	1313	303904	0.43	305217
81	1365	300548	0.45	301913
82	1276	296587	0.43	297863
83	1165	295575	0.39	296740
84	1265	291801	0.43	293066
85	1335	288084	0.46	289419
86	1319	284621	0.46	285940
87	1273	282213	0.45	283486
88	1239	279406	0.44	280645
89	1428	276494	0.51	277922
90	1232	274389	0.45	275621
91	1216	271227	0.45	272443
92	1233	267938	0.46	269171
93	1284	265139	0.48	266423
94	1267	262832	0.48	264099
95	1431	260151	0.55	261582
96	1290	256295	0.50	257585
97	1225	253836	0.48	255061
98	1319	249353	0.53	250672
99	1240	247769	0.50	249009
100	1158	244649	0.47	245807
101	1327	242238	0.54	243565
102	1241	239854	0.51	241095
103	1313	237914	0.55	239227
104	1246	233685	0.53	234931
105	1244	231861	0.53	233105
106	1241	228640	0.54	229881
107	1380	225971	0.61	227351
108	1199	223164	0.53	224363
109	1275	220458	0.58	221733
110	1312	217894	0.60	219206
111	1159	216190	0.53	217349
112	1281	212839	0.60	214120
113	1224	210401	0.58	211625
114	1175	207830	0.56	209005
115	1248	205362	0.60	206610
116	1217	202304	0.60	203521
117	1300	199184	0.65	200484
118	1148	197106	0.58	198254
119	1122	195105	0.57	196227
120	1229	192709	0.63	193938
121	1187	190493	0.62	191680
122	1245	188519	0.66	189764
123	1119	186187	0.60	187306
124	1313	184227	0.71	185540
125	1155	181663	0.63	182818
126	1178	178897	0.65	180075
127	1105	175856	0.62	176961
128	1140	173653	0.65	174793
129	1138	170926	0.66	172064
130	1211	169086	0.71	170297
131	1181	167340	0.70	168521
132	1089	164414	0.66	165503
133	1103	161725	0.68	162828
134	1271	158945	0.79	160216
135	1007	156739	0.64	157746
136	1009	154129	0.65	155138
137	948	150554	0.63	151502
138	855	145998	0.58	146853
139	806	138925	0.58	139731
140	583	124526	0.47	125109

